2024-08-05 15:29:39.462 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'dndstate' (class org.asteriskjava.manager.event.DndStateEvent)
2024-08-05 15:29:39.462 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'challengesent' (class org.asteriskjava.manager.event.ChallengeSentEvent)
2024-08-05 15:29:39.462 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'newconnectedline' (class org.asteriskjava.manager.event.NewConnectedLineEvent)
2024-08-05 15:29:39.462 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'jabberevent' (class org.asteriskjava.manager.event.JabberEventEvent)
2024-08-05 15:29:39.463 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'challengeresponsefailed' (class org.asteriskjava.manager.event.ChallengeResponseFailedEvent)
2024-08-05 15:29:39.464 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'faxdocumentstatus' (class org.asteriskjava.manager.event.FaxDocumentStatusEvent)
2024-08-05 15:29:39.464 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'sendfaxstatus' (class org.asteriskjava.manager.event.SendFaxStatusEvent)
2024-08-05 15:29:39.464 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'faxreceived' (class org.asteriskjava.manager.event.FaxReceivedEvent)
2024-08-05 15:29:39.464 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'sendfax' (class org.asteriskjava.manager.event.SendFaxEvent)
2024-08-05 15:29:39.464 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'faxstatus' (class org.asteriskjava.manager.event.FaxStatusEvent)
2024-08-05 15:29:39.464 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 't38faxstatus' (class org.asteriskjava.manager.event.T38FaxStatusEvent)
2024-08-05 15:29:39.465 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'usereventunpaused' (class org.asteriskjava.manager.event.UnpausedEvent)
2024-08-05 15:29:39.465 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'usereventpaused' (class org.asteriskjava.manager.event.PausedEvent)
2024-08-05 15:29:39.465 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agiexecend' (class org.asteriskjava.manager.event.AgiExecEndEvent)
2024-08-05 15:29:39.465 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agiexecstart' (class org.asteriskjava.manager.event.AgiExecStartEvent)
2024-08-05 15:29:39.465 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'leave' (class org.asteriskjava.manager.event.LeaveEvent)
2024-08-05 15:29:39.465 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'join' (class org.asteriskjava.manager.event.JoinEvent)
2024-08-05 15:29:39.466 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queuecallerjoin' (class org.asteriskjava.manager.event.QueueCallerJoinEvent)
2024-08-05 15:29:39.466 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queuecallerleave' (class org.asteriskjava.manager.event.QueueCallerLeaveEvent)
2024-08-05 15:29:39.466 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queuecallerabandon' (class org.asteriskjava.manager.event.QueueCallerAbandonEvent)
2024-08-05 15:29:39.466 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'meetmetalkingrequest' (class org.asteriskjava.manager.event.MeetMeTalkingRequestEvent)
2024-08-05 15:29:39.466 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'meetmejoin' (class org.asteriskjava.manager.event.MeetMeJoinEvent)
2024-08-05 15:29:39.466 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'meetmeleave' (class org.asteriskjava.manager.event.MeetMeLeaveEvent)
2024-08-05 15:29:39.467 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'meetmemute' (class org.asteriskjava.manager.event.MeetMeMuteEvent)
2024-08-05 15:29:39.467 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'meetmetalking' (class org.asteriskjava.manager.event.MeetMeTalkingEvent)
2024-08-05 15:29:39.467 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'musiconholdstart' (class org.asteriskjava.manager.event.MusicOnHoldStartEvent)
2024-08-05 15:29:39.467 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'musiconholdstop' (class org.asteriskjava.manager.event.MusicOnHoldStopEvent)
2024-08-05 15:29:39.467 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'channeltalkingstop' (class org.asteriskjava.manager.event.ChannelTalkingStopEvent)
2024-08-05 15:29:39.467 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'channeltalkingstart' (class org.asteriskjava.manager.event.ChannelTalkingStartEvent)
2024-08-05 15:29:39.468 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'rtpsenderstat' (class org.asteriskjava.manager.event.RtpSenderStatEvent)
2024-08-05 15:29:39.468 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'rtpreceiverstat' (class org.asteriskjava.manager.event.RtpReceiverStatEvent)
2024-08-05 15:29:39.468 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agentcomplete' (class org.asteriskjava.manager.event.AgentCompleteEvent)
2024-08-05 15:29:39.468 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agentconnect' (class org.asteriskjava.manager.event.AgentConnectEvent)
2024-08-05 15:29:39.468 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agentringnoanswer' (class org.asteriskjava.manager.event.AgentRingNoAnswerEvent)
2024-08-05 15:29:39.468 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'agentdump' (class org.asteriskjava.manager.event.AgentDumpEvent)
2024-08-05 15:29:39.469 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'rtcpsent' (class org.asteriskjava.manager.event.RtcpSentEvent)
2024-08-05 15:29:39.469 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'rtcpreceived' (class org.asteriskjava.manager.event.RtcpReceivedEvent)
2024-08-05 15:29:39.470 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'newcallerid' (class org.asteriskjava.manager.event.NewCallerIdEvent)
2024-08-05 15:29:39.470 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'softhanguprequest' (class org.asteriskjava.manager.event.SoftHangupRequestEvent)
2024-08-05 15:29:39.470 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'antennalevel' (class org.asteriskjava.manager.event.AntennaLevelEvent)
2024-08-05 15:29:39.470 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'hanguprequest' (class org.asteriskjava.manager.event.HangupRequestEvent)
2024-08-05 15:29:39.470 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'mixmonitorstop' (class org.asteriskjava.manager.event.MixMonitorStopEvent)
